Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,866.30","-3.01%","2,960.00","16,16,043","82,446.51","30.34","3.18","3,865.00","1,863.00","-9.86%","-13.98%","0.14%","22.55%","22.55%","7.40","-","-","24.78%","-","3,171.35","3,010.07","34.68","50.00%","83.41%"
"PB FinTech","https://scanx.trade/company/policy-bazaar-ltd","1,781.80","-1.33%","1,808.80","11,49,164","82,439.39","180.57","39.50","2,246.90","1,311.35","-4.39%","6.33%","-15.92%","294.07%","48.20%","12.32","-","-8.90%","6.22%","2.28","1,827.23","1,764.68","40.67","70.00%","84.30%"
"L&T Finance","https://scanx.trade/company/lt-finance-holdings-ltd","319.75","0.79%","319.50","38,61,694","80,021.52","29.42","-5.03","321.90","129.20","3.43%","23.66%","132.11%","255.87%","254.41%","3.01","0.86%","9.85%","10.60%","9.93","296.20","223.47","67.77","75.00%","87.34%"
"Rail Vikas Nigam","https://scanx.trade/company/rail-vikas-nigam-ltd","365.85","1.20%","363.50","70,88,047","76,280.46","66.35","-0.56","501.80","301.20","13.74%","6.23%","-14.54%","433.70%","1,430.75%","7.89","0.48%","19.39%","14.76%","6.98","326.26","354.13","65.10","67.60%","81.35%"
"UNO Minda","https://scanx.trade/company/minda-industries-ltd","1,321.20","2.68%","1,293.00","17,32,882","76,252.17","63.23","174.76","1,382.00","767.60","0.92%","-0.24%","24.78%","152.50%","563.59%","11.93","0.17%","17.56%","19.22%","15.45","1,268.80","1,131.88","62.43","70.00%","70.00%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","264.90","-0.32%","266.60","41,86,213","75,807.03","738.06","39.81","273.22","154.90","-","9.80%","60.86%","70.74%","-27.95%","54.80","-","1.78%","12.91%","0.14","257.65","222.26","62.01","75.00%","87.50%"
"AU Small Finance Bank","https://scanx.trade/company/au-small-finance-bank-ltd","999.40","-0.01%","1,002.90","10,14,538","74,648.39","34.36","9.51","1,007.25","478.35","5.14%","37.93%","75.78%","52.12%","128.34%","4.12","0.10%","38.28%","16.45%","23.05","937.33","769.30","68.14","76.00%","87.50%"
"Suzlon Energy","https://scanx.trade/company/suzlon-ltd","54.28","3.45%","52.59","5,95,17,999","74,430.26","22.53","3.18","74.30","46.15","1.04%","-1.63%","-16.91%","407.29%","782.60%","9.11","-","262.69%","24.15%","0.68","54.78","58.72","55.61","50.00%","84.29%"
"NMDC","https://scanx.trade/company/nmdc-ltd","84.53","1.04%","84.11","2,76,83,548","74,317.23","10.46","-96.29","84.64","59.53","12.12%","10.99%","28.11%","101.17%","208.95%","2.26","3.95%","24.47%","29.74%","20.82","76.62","72.15","70.63","75.15%","87.50%"
"IDFC First Bank","https://scanx.trade/company/idfc-first-bank-ltd","85.92","0.36%","85.75","2,51,01,820","73,847.32","51.26","9.51","86.00","52.46","6.46%","24.49%","33.85%","40.51%","129.73%","1.40","0.25%","9.12%","5.55%","3.82","81.46","71.90","65.92","76.00%","87.50%"
"Dixon Technologies","https://scanx.trade/company/dixon-technologies-ltd","12,165.00","0.61%","12,162.00","8,09,776","73,824.21","42.91","11.96","18,700.00","11,646.00","-16.48%","-26.06%","-32.39%","212.14%","346.52%","18.02","0.07%","19.86%","41.33%","72.30","14,195.08","15,445.47","32.60","70.00%","84.92%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","1,477.20","0.87%","1,467.00","10,05,873","70,623.25","64.90","21.24","1,490.90","919.10","3.08%","21.12%","13.64%","67.09%","174.52%","7.48","0.58%","12.70%","16.45%","22.02","1,396.18","1,246.86","66.87","76.00%","87.50%"
"Aurobindo Pharma","https://scanx.trade/company/aurobindo-pharma-ltd","1,215.40","1.88%","1,200.70","5,16,055","70,590.63","20.25","18.27","1,356.20","1,010.00","-0.07%","11.92%","-10.19%","179.53%","31.01%","1.98","-","10.62%","15.74%","61.22","1,185.04","1,143.16","56.45","76.00%","87.50%"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,399.40","5.46%","1,324.00","17,81,418","70,516.26","21.93","10.67","1,640.00","1,188.00","7.04%","15.08%","-6.35%","179.54%","336.15%","3.56","1.43%","15.05%","14.83%","47.61","1,299.89","1,362.74","70.22","73.97%","86.84%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","902.45","1.38%","896.00","62,50,730","70,307.71","-91.32","9.51","1,086.55","606.00","6.53%","21.44%","-6.91%","-26.41%","0.26%","1.07","-","14.20%","5.98%","115.87","835.01","794.11","70.37","70.00%","85.30%"
"Yes Bank","https://scanx.trade/company/yes-bank-ltd","22.29","3.72%","21.50","11,48,90,325","69,940.56","23.88","9.51","24.30","16.02","-0.71%","2.44%","13.55%","2.96%","23.83%","1.37","-","3.05%","5.95%","0.46","22.32","20.42","56.65","70.00%","87.16%"
"Oil India","https://scanx.trade/company/oil-india-ltd","428.85","0.30%","427.55","10,77,168","69,757.08","10.46","-125.34","494.55","325.00","3.54%","4.27%","-1.89%","199.48%","491.76%","1.24","2.69%","23.55%","11.77%","51.54","419.00","416.71","65.28","72.79%","86.45%"
"Prestige Estates Projects","https://scanx.trade/company/prestige-estate-ltd","1,618.80","0.92%","1,601.00","2,25,652","69,726.61","81.87","-0.56","1,814.00","1,048.05","-2.43%","4.97%","-2.10%","244.90%","506.75%","4.37","0.11%","10.40%","8.96%","33.42","1,677.90","1,552.81","47.85","72.15%","85.34%"
"Fortis Healthcare","https://scanx.trade/company/fortis-healthcare-ltd","914.75","1.58%","906.30","18,11,265","69,059.80","65.35","-83.37","1,104.30","577.00","1.09%","-7.57%","29.11%","224.44%","486.38%","7.19","0.11%","7.54%","9.86%","8.50","935.32","842.74","54.68","75.00%","87.50%"
"Phoenix Mills","https://scanx.trade/company/phoenix-mills-ltd","1,903.40","1.64%","1,872.70","3,73,797","68,063.92","47.63","-0.56","1,875.90","1,402.50","10.03%","21.72%","19.79%","166.98%","384.66%","6.20","0.13%","13.29%","10.43%","61.08","1,757.83","1,614.07","80.59","73.22%","86.49%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","149.22","1.52%","147.50","94,01,609","67,934.91","6.94","10.15","151.43","90.05","1.34%","19.73%","45.38%","63.08%","197.55%","0.89","2.76%","9.28%","5.62%","15.14","143.04","122.59","65.27","70.00%","87.43%"
"UPL","https://scanx.trade/company/upl-united-phosphorus-ltd","804.65","-0.09%","806.95","45,62,526","67,857.64","28.68","21.90","806.50","497.20","7.17%","21.65%","60.77%","16.18%","78.74%","2.13","0.70%","-5.74%","7.50%","-","749.36","689.68","70.07","76.00%","87.50%"
"Oracle Financial Services Software","https://scanx.trade/company/oracle-financial-services-software-ltd","7,731.50","0.57%","7,686.00","54,875","67,277.12","28.13","32.92","12,879.95","7,038.00","-5.13%","-11.38%","-38.79%","155.67%","138.42%","9.06","3.45%","28.24%","36.86%","269.28","8,117.76","8,475.23","40.19","75.09%","87.24%"
"Alkem Laboratories","https://scanx.trade/company/alkem-laboratories-ltd","5,592.50","2.36%","5,498.00","37,645","66,866.73","27.11","18.27","5,868.00","4,491.65","-0.30%","2.44%","0.39%","86.35%","89.53%","4.90","0.82%","16.91%","19.29%","179.80","5,619.66","5,240.06","50.91","78.00%","87.50%"
"Federal Bank","https://scanx.trade/company/federal-bank-ltd","266.95","0.26%","267.50","33,53,300","65,748.33","16.18","9.51","271.10","172.66","4.03%","37.77%","33.14%","93.86%","292.29%","1.80","0.45%","12.70%","6.45%","16.45","251.26","213.07","64.55","76.00%","87.50%"
"Oberoi Realty","https://scanx.trade/company/oberoi-realty-ltd","1,730.00","2.01%","1,699.00","4,04,480","62,903.19","27.57","-0.56","2,325.80","1,451.95","6.86%","8.42%","-23.95%","98.46%","193.17%","3.68","0.47%","13.92%","16.69%","60.22","1,688.63","1,690.40","62.17","75.70%","87.50%"
"Godrej Properties","https://scanx.trade/company/godrej-properties-ltd","2,068.50","2.64%","2,025.00","3,08,290","62,304.53","39.50","-0.56","2,830.60","1,900.00","-1.34%","1.88%","-25.51%","67.31%","44.93%","3.32","-","7.25%","8.74%","40.29","2,118.54","2,140.64","53.42","73.82%","86.11%"
"Steel Authority of India","https://scanx.trade/company/steel-authority-of-india-ltd","147.47","-0.66%","148.60","1,27,03,746","60,912.86","23.99","24.21","149.47","99.15","9.20%","9.30%","30.59%","65.79%","97.95%","1.05","1.08%","3.98%","6.70%","9.38","135.55","127.76","70.93","73.43%","85.57%"
"NALCO","https://scanx.trade/company/national-aluminium-company-ltd","330.30","4.99%","316.20","2,12,72,570","60,663.95","9.45","92.18","319.85","137.75","25.21%","53.99%","54.25%","294.62%","644.76%","2.91","3.34%","10.93%","36.82%","10.50","266.09","207.83","81.79","71.97%","84.35%"
"Patanjali Foods","https://scanx.trade/company/ruchi-soya-industries-ltd","557.00","0.81%","553.00","29,59,410","60,592.03","42.22","9.29","670.33","521.00","-2.15%","-4.12%","-7.66%","-53.33%","-17.22%","4.97","0.60%","1.75%","15.86%","25.98","565.85","587.30","52.77","75.00%","87.50%"
"Laurus Labs","https://scanx.trade/company/laurus-labs-ltd","1,106.50","-0.35%","1,110.00","9,53,854","59,735.13","87.89","18.27","1,119.00","501.15","7.49%","26.89%","79.73%","196.33%","213.10%","12.47","0.11%","4.09%","12.08%","2.75","1,011.15","810.42","75.31","75.20%","80.00%"
"Glenmark Pharmaceuticals","https://scanx.trade/company/glenmark-pharmaceuticals-ltd","2,064.50","1.89%","2,025.90","3,88,479","58,260.36","56.61","18.27","2,284.80","1,275.50","6.32%","5.37%","27.87%","382.70%","310.76%","5.97","0.12%","3.84%","15.93%","-","1,921.25","1,797.22","66.94","75.73%","87.50%"
"Max Financial Services","https://scanx.trade/company/max-financial-services-ltd","1,671.00","-0.18%","1,681.20","3,11,456","57,668.68","288.09","41.37","1,751.40","950.00","-2.47%","3.03%","51.56%","144.46%","141.84%","10.89","-","8.99%","6.69%","11.00","1,655.41","1,509.97","49.32","75.00%","87.50%"
"Colgate Palmolive","https://scanx.trade/company/colgate-palmolive-ltd","2,090.10","-0.18%","2,105.00","1,57,949","56,847.72","42.95","47.54","2,975.00","2,051.00","-2.92%","-6.06%","-22.64%","37.49%","32.41%","35.99","2.44%","70.62%","111.07%","51.99","2,159.64","2,338.54","41.93","78.00%","87.50%"
"MCX","https://scanx.trade/company/multi-commodity-exchange-ltd","2,216.00","-79.83%","2,230.00","34,18,580","56,506.19","80.50","41.37","-","-","-","-","-","-","-","26.85","0.27%","10.07%","24.11%","34.19","1,998.49","1,593.86","66.60","72.84%","-"
"IRCTC","https://scanx.trade/company/irctc-ltd","694.85","1.34%","685.65","15,47,440","55,588.00","39.96","52.99","831.75","656.00","1.54%","-1.60%","-11.92%","8.17%","140.43%","12.87","1.17%","34.40%","44.39%","14.87","693.33","730.34","56.05","76.00%","87.50%"
"Coforge","https://scanx.trade/company/coforge-ltd","1,650.30","-0.33%","1,662.90","23,58,220","55,291.95","41.21","32.92","1,994.00","1,194.01","-13.26%","3.09%","-14.30%","108.84%","203.11%","8.04","0.23%","22.42%","14.67%","114.98","1,813.46","1,710.63","30.27","75.26%","86.19%"
"Bharat Dynamics","https://scanx.trade/company/bharat-dynamics-ltd","1,495.00","0.91%","1,487.30","16,36,024","54,801.09","82.96","37.58","2,096.60","907.00","-2.31%","-3.04%","31.87%","216.44%","758.95%","12.87","0.31%","10.97%","10.19%","15.77","1,482.73","1,578.80","56.64","70.06%","82.86%"
